p,d1,d2c0,d2c1,construction_time_sec,variety_count,vertex_count,edge_count,connectivity_check_time_sec,is_strongly_connected,scc_count,are_all_varieties_covered_by_main_scc,are_all_variety_pairs_connected_via_good_paths,are_all_minor_sccs_size_1,are_all_minor_nodes_self_isogenies,all_minor_sccs_have_preds_from_main,any_minor_sccs_have_succs_to_main,exists_minor_to_minor_edge,condensed_graph,construction_peak_bytes,connectivity_check_peak_bytes
7,3,1,1,0.1681,40,516,3659,0.0001,true,1,true,true,true,true,true,false,false,0:[0],93104,89316
11,2,1,1,1.8721,605,8995,71410,0.0020,true,1,true,true,true,true,true,false,false,0:[0],1544464,1524575
13,2,0,1,5.2927,1657,24797,198033,0.0066,true,1,true,true,true,true,true,false,false,0:[0],3654768,4129665
17,3,0,1,28.3565,8324,124810,998193,0.0391,true,1,true,true,true,true,true,false,false,0:[0],21738640,19999394
19,2,1,1,54.2746,16245,243623,1948616,0.1078,true,1,true,true,true,true,true,false,false,0:[0],42978000,39277747
23,5,1,1,234.4564,51208,768092,6144609,0.5028,true,1,true,true,true,true,true,false,false,0:[0],114826992,129090588
29,2,0,1,788.6493,206045,3090629,24724716,2.4132,true,1,true,true,true,true,true,false,false,0:[0],460826544,518556521
31,3,1,1,1209.3700,307520,4612762,36901824,4.0066,true,1,true,true,true,true,true,false,false,0:[0],791153872,781470994
37,2,0,1,2845.1963,889577,13343559,106747869,13.3684,true,1,true,true,true,true,true,false,false,0:[0],1924928144,2192146803
41,3,0,1,5415.1026,1647380,24710678,197685264,25.5924,true,1,true,true,true,true,true,false,false,0:[0],3685415760,4146726014
43,2,1,1,7000.5941,2192545,32888099,263104325,35.0702,true,1,true,true,true,true,true,false,false,0:[0],5642942928,5232412095
47,5,1,1,14636.8561,3739396,56090906,448727073,65.3094,true,1,true,true,true,true,true,false,false,0:[0],8131258768,9300652402
53,2,0,1,27808.2896,7690481,115357129,922856489,146.2797,true,1,true,true,true,true,true,false,false,0:[0],16526703792,18982977501
59,2,1,1,46857.8116,14637605,219564063,1756512420,305.1713,true,1,true,true,true,true,true,false,false,0:[0],31303627088,35803618955
61,2,0,1,63407.6739,17879405,268191025,2145527856,470.8822,true,1,true,true,true,true,true,false,false,0:[0],45566714992,42470663109
67,2,1,1,103271.6484,31395169,470927485,3767419593,725.6559,true,1,true,true,true,true,true,false,false,0:[0],85687609840,77073687329
71,7,1,1,172885.2980,44461620,666924274,5335394004,1523.9656,true,1,true,true,true,true,true,false,false,0:[0],107631687184,117812370698
73,5,0,1,185535.7341,52526888,787903278,6303225993,1267.7657,true,1,true,true,true,true,true,false,false,0:[0],117697140368,132354046806
79,3,1,1,276676.9913,84378320,1265674752,10125397676,2484.1677,true,1,true,true,true,true,true,false,false,0:[0],209591314352,227430250608
83,2,1,1,354637.8581,113488009,1702320099,13618560609,2880.2822,true,1,true,true,true,true,true,false,false,0:[0],245920207184,279915021567
